id,name,images,sub-subcategory,final order,repetition type,geometry,represents,modifier (from name),limited to craft,notes,fundamentality,super-supercategory,supercategory,subcategory,original manual order,alternate name,alternate name 2,alternate name 3,alternate name 4
311,hazy plum ring stencil / 地抜き朧梅輪 / じぬきおぼろうめわ / ji nuki oboro ume wa,311.png (https://dl.airtable.com/iroRikfSn2JUbZHICHIp_311.png),082 - jinuki,208,5-radial symmetry,"basic element - 1 - ring / circle / dot,aspect - all curvy-edged,aspect - subtraction / inversion,aspect - empty / outline","flower,ring,plant",hazy,,"Literally means ""exclude from ground"".",variant,02 - shape,05 - cyclical,20 - concentric,96,,,,
422,heaven and earth / 天地 / てんち / tenchi,422.png (https://dl.airtable.com/xXpPtXKROe645rt767CA_422.png),082 - jinuki,209,4-radial symmetry,"basic element - 4 - square,basic element - 1 - ring / circle / dot,polyelement - rectangle embedded in circle",heavenly body,,,,one-off / other,02 - shape,05 - cyclical,20 - concentric,161,,,,
315,sun rays / 日足 / ひあし / hiashi / daytime,"315.png (https://dl.airtable.com/CGBxQ7gSBa6u5yeReV7h_315.png),315c.png (https://dl.airtable.com/vHQVezS8K4UHq56PtbQZ_315c.png),315b.png (https://dl.airtable.com/RKgGSljqRlWwyIx9tDXl_315b.png)",083 - sunrays,210,varying radial symmetry,"basic element - 1 - ring / circle / dot,element - rays / spokes,aspect - ring in center position",heavenly body,,,,basic building block,02 - shape,05 - cyclical,21 - ray,216,,,,
316,rising sun / 旭光 / きょっこう / kyokkō,316.png (https://dl.airtable.com/X7g9wot6Rqu3HHu4Srg0_316.png),083 - sunrays,211,8-radial symmetry,"basic element - 1 - ring / circle / dot,element - rays / spokes,aspect - ring in center position,aspect - indented",heavenly body,,,,one-off / other,02 - shape,05 - cyclical,21 - ray,217,,,,
317,rising sun rays / 旭光日足 / きょっこうひあし / kyokkō hiashi,317.png (https://dl.airtable.com/hRhTrD5yQfWfDwu48eOO_317.png),083 - sunrays,212,12-radial symmetry,"basic element - 1 - ring / circle / dot,element - rays / spokes,aspect - ring in center position,aspect - indented",heavenly body,,,,complex compound,02 - shape,05 - cyclical,21 - ray,218,,,,
29,Navagraha / 九曜 / こよう / koyо̄,29.png (https://dl.airtable.com/ix2oNkvgSEGPofaOdKoM_29.png),084 - koyo,213,8-radial symmetry,"basic element - 1 - ring / circle / dot,aspect - ring in center position",heavenly body,,,,basic building block,02 - shape,05 - cyclical,21 - ray,124,,,,
367,split Navagraha / 割り九曜 / わりくよう / wari koyō,367.png (https://dl.airtable.com/eJhpFF35QZu9TFE6UXUJ_367.png),085 - koyo variants (hoshi),214,8-radial symmetry,"basic element - 1 - ring / circle / dot,aspect - ring in center position,aspect - all curvy-edged,element - star - general",heavenly body,split,,,variant,02 - shape,05 - cyclical,21 - ray,126,,,,
401,Navagraha on three ground papers / 三つ地紙に九曜 / みつじがみにこよう / mitsu jigami ni koyō,401.png (https://dl.airtable.com/cqw3KHoiQXK1PE0Zn0qd_401.png),085 - koyo variants (hoshi),215,4-radial symmetry,"aspect - implied shape,basic element - 1 - ring / circle / dot,aspect - empty / outline,aspect - ring in center position,polyelement - ring of rings,element - arc / annular sector","fan,heavenly body",,,,complex compound,02 - shape,05 - cyclical,21 - ray,125,,,,
356,knotted Navagraha / 結び九曜 / むすびこよう / musubi koyо̄,356.png (https://dl.airtable.com/HZ5VJx14RlmAEt7wrDNg_356.png),085 - koyo variants (hoshi),216,8-radial symmetry,"single line woven into itself,aspect - over - under,element - teardrop,basic element - 1 - ring / circle / dot,aspect - ring in center position,aspect - empty / outline",heavenly body,knotted,,,variant,02 - shape,05 - cyclical,21 - ray,172,,,,
341,yin yang seven planets / 陰陽七つ星 / いんようななつほし / inyō nanatsu hoshi,341.png (https://dl.airtable.com/yAmg5huQj2cW0bmZ3NDw_341.png),085 - koyo variants (hoshi),217,6-radial symmetry,"basic element - 1 - ring / circle / dot,polyelement - ring of rings,aspect - overlapping circles,element - gingko leaf,solid overlapping circles with outlines,element - 2 - lens,aspect - ring in center position","heavenly body,yin yang",,,,one-off / other,02 - shape,05 - cyclical,21 - ray,175,,,,
337,Hyuga kettle trivet / 日向釜敷 / ひゅうががましき / hyūga gamashiki,337.png (https://dl.airtable.com/CjvMCXchSbbqkMdequyh_337.png),085 - koyo variants (hoshi),218,6-radial symmetry,"basic element - 6 - hexagon,basic element - 1 - ring / circle / dot,element - 3 - Reuleaux triangle,element - fundo,polyelement - ring of rings,aspect - overlapping circles,solid overlapping circles with outlines,element - 2 - lens,aspect - ring in center position",kettle,,,,one-off / other,02 - shape,05 - cyclical,21 - ray,174,,,,
415,linked three stars / 繋ぎ三つ星 / つなぎみつぼし / tsunagi mitsu boshi,415.png (https://dl.airtable.com/EFJqKirJQ7ahbizLhWyS_415.png),085 - koyo variants (hoshi),219,3-radial symmetry,"basic element - 1 - ring / circle / dot,polyelement - ring of rings,polyelement - line through rings / dots",heavenly body,linked,,,one-off / other,02 - shape,05 - cyclical,21 - ray,241,,,,
417,three mirrors / 三つ鏡 / みつかがみ / mitsu kagami,417.png (https://dl.airtable.com/AiSLwsk6SlSsULpiFuN6_417.png),085 - koyo variants (hoshi),220,3-radial symmetry,"basic element - 1 - ring / circle / dot,basic element - 4 - trapezoid,polyelement - line through rings / dots",,,,,one-off / other,02 - shape,05 - cyclical,21 - ray,242,,,,
107,dot plum pot / 星梅鉢 / ほしうめばち / hoshi ume bachi,107.png (https://dl.airtable.com/tyfekdcjTIWyKijJiJq7_107.png),085 - koyo variants (hoshi),221,5-radial symmetry,"basic element - 1 - ring / circle / dot,aspect - ring in center position","flower,pot,plant",,,,basic building block,02 - shape,05 - cyclical,21 - ray,91,,,,
20,plum / 梅 / うめ / ume,20.png (https://dl.airtable.com/3VMYtwSlR3KnJiSHvoVh_20.png),086 - hana - basic - common,222,5-radial symmetry,"aspect - all curvy-edged,aspect - ring in center position,dash / sword from center into petal","flower,plant",,,,basic building block,02 - shape,05 - cyclical,21 - ray,90,plum flower / 梅花 / うめはな / ume hana,,,
17,cherry blossom / 桜 / さくら / sakura,"17.png (https://dl.airtable.com/kc1TI6DxQVS4RPlsBdeM_17.png),17b.png (https://dl.airtable.com/m6OtqL7yR3SIXiBfW0r4_17b.png)",086 - hana - basic - common,223,5-radial symmetry,"basic element - 1 - ring / circle / dot,aspect - all curvy-edged,aspect - ring in center position,bumpy petal,dash / sword from center into petal,pointed petal","flower,plant,cherry blossom",,,,basic building block,02 - shape,05 - cyclical,21 - ray,88,,,,
21,chrysanthemum / 菊 / きく / kiku,21.png (https://dl.airtable.com/rdn3kFChQL2afgfYXcR5_21.png),086 - hana - basic - common,224,3-radial symmetry,"basic element - 1 - ring / circle / dot,aspect - all curvy-edged,aspect - ring in center position","flower,plant,chrysanthemum",,,,basic building block,02 - shape,05 - cyclical,21 - ray,89,,,,
105,quince / 木瓜 / もっこう / mokkō,"105b.png (https://dl.airtable.com/RTlsonjTS5mD7CDcmXpa_105b.png),105.png (https://dl.airtable.com/rqDtd3vSlK53gMddVibJ_105.png)",086 - hana - basic - common,225,varying radial symmetry,"aspect - all curvy-edged,basic element - 4 - rhombus,aspect - empty / outline","plant,gourd",,,,basic building block,02 - shape,05 - cyclical,21 - ray,70,,,,
457,hollyhock / 葵 / あおい / aoi,457.png (https://dl.airtable.com/W8xhwUCzTPOdpvqe7s80_457.png),086 - hana - basic - common,226,1-lateral symmetry,"curl,pointed petal,dash / sword from center into petal","flower,plant",,,,basic building block,02 - shape,05 - cyclical,21 - ray,121,,,,
470,arabesque flower / 唐花 / からはな / kara hana,470.png (https://dl.airtable.com/s1woAEemQt6a4sWPdbvd_470.png),086 - hana - basic - common,227,5-radial symmetry,"bumpy petal,three humps,dash / sword from center into petal,aspect - ring in center position,basic element - 1 - ring / circle / dot","plant,flower",arabesque / Tang,,,basic building block,02 - shape,05 - cyclical,21 - ray,108,,,,
344,bellflower / 桔梗 / ききょう / kikyō,344.png (https://dl.airtable.com/HjeMfUi2RSyNm8Tj05oy_344.png),086 - hana - basic - common,228,5-radial symmetry,"aspect - ring in center position,pointed petal,dash / sword from center into petal","flower,plant,bellflower",,,,basic building block,02 - shape,05 - cyclical,21 - ray,98,,,,
459,woodsorrel / 片喰 / かたばみ / katabami,459.png (https://dl.airtable.com/i30I7oNIQjSJaQ8Cp3nU_459.png),087 - hana - basic - uncommon,229,3-radial symmetry,"aspect - ring in center position,basic element - 1 - ring / circle / dot,bumpy petal,dash / sword from center into petal","flower,plant,woodsorrel",,,,basic building block,02 - shape,05 - cyclical,05 - uroko,99,,,,
460,floating weeds / 浮草 / うきくさ / uki kusa,460.png (https://dl.airtable.com/ZI0YcDoxR62CAnS0FaH0_460.png),087 - hana - basic - uncommon,230,4-radial symmetry,"aspect - ring in center position,basic element - 1 - ring / circle / dot,warped petal",plant,,,,basic building block,02 - shape,05 - cyclical,21 - ray,104,four leaf woodsorrel / 四つ葉片喰 / よつばかたばみ / yotsu ba katabami,,,
461,waterclover / 田字草 / でんじそう / denjisо̄,461.png (https://dl.airtable.com/M8lN1OKSICpiNIKChT7p_461.png),087 - hana - basic - uncommon,231,4-radial symmetry,"aspect - ring in center position,dash / sword from center into petal,bumpy petal",plant,,,,basic building block,02 - shape,05 - cyclical,21 - ray,105,,,,
465,persimmon flower / 柿ノ花 / かきのはな / kaki no hana,"465b.png (https://dl.airtable.com/yfd16AHwSAuQLk55k89F_465b.png),465.png (https://dl.airtable.com/AsB5eAFIQN2TV8KjUpRu_465.png),465c.png (https://dl.airtable.com/34TD4exuROaDNSluyuqM_465c.png)",087 - hana - basic - uncommon,232,4-radial symmetry,"aspect - ring in center position,basic element - 1 - ring / circle / dot,dash / sword from center into petal,merged petals","plant,flower,persimmon",,,,basic building block,02 - shape,05 - cyclical,21 - ray,106,,,,
466,melon flower / 瓜ノ花 / うりのはな / uri no hana,466.png (https://dl.airtable.com/WgU1nVZeQASiuZ9miDv7_466.png),087 - hana - basic - uncommon,233,5-radial symmetry,"warped petal,aspect - ring in center position,basic element - 1 - ring / circle / dot,merged petals","plant,flower,gourd",,,,basic building block,02 - shape,05 - cyclical,21 - ray,107,persimmon flower / 柿ノ花 / かきのはな / kaki no hana,,,
488,carnation / 撫子 / なでしこ / nadeshiko,488.png (https://dl.airtable.com/ODvWW4VQjOq8kUtLTJW5_488.png),087 - hana - basic - uncommon,234,5-radial symmetry,"dash / sword from center into petal,pointed petal,warped petal,aspect - ring in center position,basic element - 1 - ring / circle / dot","plant,flower",,,,basic building block,02 - shape,05 - cyclical,21 - ray,116,,,,
469,Yanagisawa rhombus leaf / 柳沢菱ノ葉 / やなぎさわひしのは / yanagisawa hishi no ha,469.png (https://dl.airtable.com/CbhKfPG8QjaISAN9UpP5_469.png),087 - hana - basic - uncommon,235,5-radial symmetry,"pointed petal,aspect - ring in center position,basic element - 1 - ring / circle / dot,warped petal",plant,,,,basic building block,02 - shape,05 - cyclical,21 - ray,120,,,,
486,calabash flower / 夕顔ノ花 / ゆうがお / yūgao no hana,486.png (https://dl.airtable.com/PqwCaElFTKeKsLwtVOnM_486.png),087 - hana - basic - uncommon,236,5-radial symmetry,"merged petals,aspect - ring in center position,basic element - 1 - ring / circle / dot,dash / sword from center into petal","plant,flower",,,,basic building block,02 - shape,05 - cyclical,21 - ray,114,,,,
487,shepherd's purse / 薺 / なづな / nazuna,487.png (https://dl.airtable.com/bAkZwPdlTZOOLphXDOpn_487.png),087 - hana - basic - uncommon,237,5-radial symmetry,"dash / sword from center into petal,warped petal,aspect - ring in center position,basic element - 1 - ring / circle / dot","plant,flower",,,,basic building block,02 - shape,05 - cyclical,21 - ray,115,,,,
484,six leaves / 六葉 / ろくよう / roku yō,484.png (https://dl.airtable.com/G8HvmVxiQw68f2POpMjd_484.png),087 - hana - basic - uncommon,238,6-radial symmetry,"element - star - warped,basic element - 6 - hexagon,element - 2 - lens,lens / crescent / teardrop cut out of a blob",plant,,,,basic building block,02 - shape,05 - cyclical,21 - ray,112,six leaves gable pendant / 六葉懸魚 / ろくようげぎょ / roku yō gegyo / six leaves hanging fish,,,
468,gardenia / 梔子 / くちなし / kuchinashi,468.png (https://dl.airtable.com/KkDuekO9SW2YD7fU6PGb_468.png),087 - hana - basic - uncommon,239,6-radial symmetry,"aspect - ring in center position,basic element - 1 - ring / circle / dot,pointed petal,merged petals","plant,flower,gardenia",,,,basic building block,02 - shape,05 - cyclical,21 - ray,103,gardenia / 山梔子 / やまくちなし / yama kuchi nashi / mountain gardenia,,,
464,Korin clematis / 光琳鉄線 / こうりんてっせん / kōrin tessen,464.png (https://dl.airtable.com/9DtD2OHbScWE6eLzGmkk_464.png),088 - hana - variants,240,6-radial symmetry,"merged petals,element - teardrop,pointed petal,lens / crescent / teardrop cut out of a blob","plant,flower,clematis",,,,basic building block,02 - shape,05 - cyclical,21 - ray,102,,,,
462,Korin woodsorrel / 光琳片喰 / こうりんかたばみ / kōrin katabami,462.png (https://dl.airtable.com/ZyJPbbyLQ1qe1JDQKDJF_462.png),088 - hana - variants,241,3-radial symmetry,"merged petals,element - blob,element - teardrop,lens / crescent / teardrop cut out of a blob","flower,plant,woodsorrel",,,,one-off / other,02 - shape,05 - cyclical,21 - ray,100,,,,
108,Korin plum pot / 光琳梅鉢 / こうりんうめばち / kōrin ume bachi,108.png (https://dl.airtable.com/3G24kFxVRh6tA4LEl4Ag_108.png),088 - hana - variants,242,5-radial symmetry,"aspect - all curvy-edged,warped petal","flower,pot,plant",,光琳,,variant,02 - shape,05 - cyclical,21 - ray,92,,,,
